id,xp,name,original_name,type
408,1.627,Dentier du Chafer d'Élite,Dentier du Chafer d'Élite,[object Object]
409,0.248,Poils de Barbe du Bwork Mage,Poils de Barbe du Bwork Mage,[object Object]
410,1.48,Livre du Bwork Mage,Livre du Bwork Mage,[object Object]
411,0.254,Bec du Kwak de Glace,Bec du Kwak de Glace,[object Object]
412,0.254,Bec du Kwak de Flamme,Bec du Kwak de Flamme,[object Object]
413,0.254,Bec du Kwak de Vent,Bec du Kwak de Vent,[object Object]
414,0.254,Plume du Kwak de Glace,Plume du Kwak de Glace,[object Object]
415,0.254,Plume du Kwak de Flamme,Plume du Kwak de Flamme,[object Object]
416,0.254,Plume du Kwak de Vent,Plume du Kwak de Vent,[object Object]
417,0.116,Boue du Boo,Boue du Boo,[object Object]
418,0.395,Poils de Barbe du Grand Pa Wabbit,Poils de Barbe du Grand Pa Wabbit,[object Object]
419,2.392,Oreille du Grand Pa Wabbit,Oreille du Grand Pa Wabbit,[object Object]
420,0.18,Ficelle en Lin,Ficelle en Lin,[object Object]
421,0.03,Ortie,Ortie,[object Object]
423,0.12,Lin,Lin,[object Object]
424,3.354,Fibre criminelle,Fibre criminelle,[object Object]
425,0.2,Chanvre,Chanvre,[object Object]
426,56.207,Fibre de Chanvre,Fibre de Chanvre,[object Object]
428,0.05,Sauge,Sauge,[object Object]
430,0.144,Os Invisible du Chafer Invisible,Os Invisible du Chafer Invisible,[object Object]
431,0.41,Pierre du Craqueleur,Pierre du Craqueleur,[object Object]
432,0.183,Côtes du Rib,Côtes du Rib,[object Object]
433,1.627,Fémur du Chafer Archer,Fémur du Chafer Archer,[object Object]
435,0.291,Racine d'Abraknyde,Racine d'Abraknyde,[object Object]
438,1.121,Queue du Mulou,Queue du Mulou,[object Object]
439,1.349,Canine de Mergranlou,Canine de Mergranlou,[object Object]
440,1.349,Griffe de Muloubard,Griffe de Muloubard,[object Object]
441,0.05,Cuivre,Cuivre,[object Object]
442,0.07,Bronze,Bronze,[object Object]
443,0.1,Kobalte,Kobalte,[object Object]
444,0.15,Étain,Étain,[object Object]
445,0.12,Manganèse,Manganèse,[object Object]
446,0.2,Bauxite,Bauxite,[object Object]
447,0.656,Charbon,Charbon,[object Object]
448,0.499,Silex,Silex,[object Object]
449,0.2,Bois d'Ébène,Bois d'Ébène,[object Object]
450,0.809,Pierre de Granit,Pierre de Granit,[object Object]
460,0.1,Bois de Chêne,Bois de Chêne,[object Object]
461,0.15,Bois d'If,Bois d'If,[object Object]
463,0.388,Ambre,Ambre,[object Object]
464,2.081,Ambre d'Abraknyde,Ambre d'Abraknyde,[object Object]
465,8.087,Cristal,Cristal,[object Object]
466,7.086,Saphir,Saphir,[object Object]
470,0.25,Bois d'Orme,Bois d'Orme,[object Object]
471,0.12,Bois d'Érable,Bois d'Érable,[object Object]
472,0.22,Bois de Charme,Bois de Charme,[object Object]
474,0.17,Bois de Merisier,Bois de Merisier,[object Object]
476,0.07,Bois de Noyer,Bois de Noyer,[object Object]
479,5.091,Ivoire,Ivoire,[object Object]
480,2.418,Minerai Étrange,Minerai Étrange,[object Object]
485,0.272,Slip en cuir du Chafer Lancier,Slip en cuir du Chafer Lancier,[object Object]
486,0.162,Cuir de Gargrouille,Cuir de Gargrouille,[object Object]
519,0.049,Poudre de Perlinpainpain,Poudre de Perlinpainpain,[object Object]
532,0.15,Seigle,Seigle,[object Object]
533,0.07,Avoine,Avoine,[object Object]
545,1.641,Pierre de Cristal,Pierre de Cristal,[object Object]
546,2.128,Pierre de Saphir,Pierre de Saphir,[object Object]
547,1.593,Pierre de Rubis,Pierre de Rubis,[object Object]
593,0.12,Orchidée Freyesque,Orchidée Freyesque,[object Object]
594,0.15,Edelweiss,Edelweiss,[object Object]
598,0.04,Greuvette,Greuvette,[object Object]
600,0.14,Kralamoure,Kralamoure,[object Object]
602,0.21,Requin Marteau-Faucille,Requin Marteau-Faucille,[object Object]
603,0.07,Poisson-Chaton,Poisson-Chaton,[object Object]
641,0.428,Coton Ancestral,Coton Ancestral,[object Object]
642,1.064,Cocon de Ver à Soie,Cocon de Ver à Soie,[object Object]
643,0.446,Fil de Soie,Fil de Soie,[object Object]
646,1.627,Poils de Black Tiwabbit,Poils de Black Tiwabbit,[object Object]
648,0.395,Aile de Bourdard,Aile de Bourdard,[object Object]
649,2.38,Poils de Wo Wabbit,Poils de Wo Wabbit,[object Object]
650,2.367,Duvet de Bourdard,Duvet de Bourdard,[object Object]
651,7.497,Étoffe du Mulou,Étoffe du Mulou,[object Object]
652,0.609,Étoffe du Sanglier,Étoffe du Sanglier,[object Object]
653,0.665,Étoffe d'Écurouille,Étoffe d'Écurouille,[object Object]
654,1.761,Étoffe du Wabbit,Étoffe du Wabbit,[object Object]
746,2.25,Ebonite,Ebonite,[object Object]
747,1.2,Aluminite,Aluminite,[object Object]
748,3.75,Magnésite,Magnésite,[object Object]
749,5.1,Bakélélite,Bakélélite,[object Object]
750,6.6,Kouartz,Kouartz,[object Object]
752,0.123,Sang de Vampire,Sang de Vampire,[object Object]
756,1.064,Slip en Cuir Moulant du Garglyphe,Slip en Cuir Moulant du Garglyphe,[object Object]
757,0.267,Gelée Bleuet,Gelée Bleuet,[object Object]
761,0.25,Poils de souris,Poils de souris,[object Object]
792,1.627,Muqueuse de Moumoule,Muqueuse de Moumoule,[object Object]
838,1.094,Manuel du Directeur Grunob,Manuel du Directeur Grunob,[object Object]
840,8.187,Poils du Minotoror,Poils du Minotoror,[object Object]
842,0.628,Coquille de Dragoeuf Argile,Coquille de Dragoeuf Argile,[object Object]
843,0.628,Coquille de Dragoeuf Charbon,Coquille de Dragoeuf Charbon,[object Object]
844,4.127,Œuf de Dragoeuf Ardoise,uf de Dragoeuf Ardoise,[object Object]
845,4.127,Œuf de Dragoeuf Argile,uf de Dragoeuf Argile,[object Object]
846,4.127,Œuf de Dragoeuf Charbon,uf de Dragoeuf Charbon,[object Object]
847,4.68,Œuf de Dragoeuf Calcaire,uf de Dragoeuf Calcaire,[object Object]
880,3.977,Laine de Bouftou Royal,Laine de Bouftou Royal,[object Object]
881,0.097,Laine de Ramane Strubien,Laine de Ramane Strubien,[object Object]
882,0.124,Laine du Chef de Guerre Bouftou,Laine du Chef de Guerre Bouftou,[object Object]
883,0.162,Cuir de Boostache Prépubère,Cuir de Boostache Prépubère,[object Object]
884,0.104,Cuir de Bouftou Noir,Cuir de Bouftou Noir,[object Object]
885,0.109,Laine de Boufton Noir,Laine de Boufton Noir,[object Object]
886,0.619,Cuir de Bouftou Royal,Cuir de Bouftou Royal,[object Object]
887,0.176,Cuir de Ouassingue,Cuir de Ouassingue,[object Object]
901,0.166,Cuir du Cochon de Lait,Cuir du Cochon de Lait,[object Object]
929,52.171,Kristalite,Kristalite,[object Object]
961,4.1,Morceau de clef du Matin Pewlant,Morceau de clef du Matin Pewlant,[object Object]
962,4.1,Morceau de clef du Midi Wayonnant,Morceau de clef du Midi Wayonnant,[object Object]
963,4.1,Morceau de clef du Soiw Woulant,Morceau de clef du Soiw Woulant,[object Object]
965,4.113,Pierre de Dopeul,Pierre de Dopeul,[object Object]
997,1.866,Noix de Kokoko,Noix de Kokoko,[object Object]
998,1.103,Caleçon Mignon du Pirate,Caleçon Mignon du Pirate,[object Object]
1002,0.313,Tronc de Kokoko,Tronc de Kokoko,[object Object]
1012,0.313,Carapace Rouge,Carapace Rouge,[object Object]
1013,0.313,Carapace Bleue,Carapace Bleue,[object Object]
1129,0.628,Coquille de Dragoeuf Ardoise,Coquille de Dragoeuf Ardoise,[object Object]
1141,0.254,Plume du Kwak de Terre,Plume du Kwak de Terre,[object Object]
1142,0.254,Bec du Kwak de Terre,Bec du Kwak de Terre,[object Object]
1333,161.836,Potion d'Étincelle,Potion d'Étincelle,[object Object]
1335,161.836,Potion de Crachin,Potion de Crachin,[object Object]
1337,161.836,Potion de Courant d'Air,Potion de Courant d'Air,[object Object]
1338,161.836,Potion de Secousse,Potion de Secousse,[object Object]
1345,502.11,Potion d'Incendie,Potion d'Incendie,[object Object]
1346,502.11,Potion de Tsunami,Potion de Tsunami,[object Object]
1347,502.11,Potion d'Ouragan,Potion d'Ouragan,[object Object]
1348,507.775,Potion de Séisme,Potion de Séisme,[object Object]
1455,0.214,Ailes de Scarafeuille Bleu,Ailes de Scarafeuille Bleu,[object Object]
1456,0.214,Ailes de Scarafeuille Blanc,Ailes de Scarafeuille Blanc,[object Object]
1457,0.214,Ailes de Scarafeuille Rouge,Ailes de Scarafeuille Rouge,[object Object]
1458,0.214,Ailes de Scarafeuille Vert,Ailes de Scarafeuille Vert,[object Object]
1461,8.362,Poison cinglant,Poison cinglant,[object Object]
1462,0.584,Liquide vampiresque,Liquide vampiresque,[object Object]
1463,2.32,Fiole à élément,Fiole à élément,[object Object]
1519,0.05,Rune Fo,Rune Fo,[object Object]
1521,0.45,Rune Sa,Rune Sa,[object Object]
1522,0.05,Rune Ine,Rune Ine,[object Object]
1523,0.05,Rune Vi,Rune Vi,[object Object]
1524,0.05,Rune Age,Rune Age,[object Object]
1525,0.05,Rune Cha,Rune Cha,[object Object]
1526,1.903,Métaria rouge,Métaria rouge,[object Object]
1527,1.903,Métaria bleue,Métaria bleue,[object Object]
1528,1.903,Métaria jaune,Métaria jaune,[object Object]
1529,1.903,Métaria verte,Métaria verte,[object Object]
1531,8.104,Métaria Triame bleue,Métaria Triame bleue,[object Object]
1532,8.104,Métaria Triame verte,Métaria Triame verte,[object Object]
1533,8.104,Métaria Triame rouge,Métaria Triame rouge,[object Object]
1534,8.104,Métaria Triame jaune,Métaria Triame jaune,[object Object]
1535,9.958,Métaria Mage rouge,Métaria Mage rouge,[object Object]
1536,9.958,Métaria Mage bleue,Métaria Mage bleue,[object Object]
1537,9.958,Métaria Mage verte,Métaria Mage verte,[object Object]
1538,11.091,Métaria Mage jaune,Métaria Mage jaune,[object Object]
1545,0.225,Rune Pa Fo,Rune Pa Fo,[object Object]
1546,2.025,Rune Pa Sa,Rune Pa Sa,[object Object]
1547,0.225,Rune Pa Ine,Rune Pa Ine,[object Object]
1548,0.225,Rune Pa Vi,Rune Pa Vi,[object Object]
1549,0.225,Rune Pa Age,Rune Pa Age,[object Object]
1550,0.225,Rune Pa Cha,Rune Pa Cha,[object Object]
1551,0.675,Rune Ra Fo,Rune Ra Fo,[object Object]
1552,6.075,Rune Ra Sa,Rune Ra Sa,[object Object]
1553,0.675,Rune Ra Ine,Rune Ra Ine,[object Object]
1554,0.675,Rune Ra Vi,Rune Ra Vi,[object Object]
1555,0.675,Rune Ra Age,Rune Ra Age,[object Object]
1556,0.675,Rune Ra Cha,Rune Ra Cha,[object Object]
1557,500,Rune Ga Pa,Rune Ga Pa,[object Object]
1558,405,Rune Ga Pme,Rune Ga Pme,[object Object]
1568,2.254,Clef de la Cour du Bouftou Royal,Clef de la Cour du Bouftou Royal,[object Object]
1569,4.635,Clef du Donjon des Forgerons,Clef du Donjon des Forgerons,[object Object]
1570,3.89,Clef du Donjon des Squelettes,Clef du Donjon des Squelettes,[object Object]
1610,1.012,Roue de Tivelo,Roue de Tivelo,[object Object]
1611,1.012,Bourgeon de Pirolienne,Bourgeon de Pirolienne,[object Object]
1612,0.844,Racine d'Abraknyde Sombre,Racine d'Abraknyde Sombre,[object Object]
1613,0.626,Écaille de Chef Crocodaille,Écaille de Chef Crocodaille,[object Object]
1614,1.012,Bombe de Graboule,Bombe de Graboule,[object Object]
1652,0.304,Patte d'Arakne Majeure,Patte d'Arakne Majeure,[object Object]
1660,0.619,Ambre d'Abraknyde Sombre,Ambre d'Abraknyde Sombre,[object Object]
1663,1.635,Écaille de Crocodaille,Écaille de Crocodaille,[object Object]
1664,0.272,Dent de Crocodaille,Dent de Crocodaille,[object Object]
1670,9.011,Plume Pointue de Renarbo,Plume Pointue de Renarbo,[object Object]
1671,6.13,Avoine Magique,Avoine Magique,[object Object]
1672,0.665,Poils de Darit,Poils de Darit,[object Object]
1673,0.443,Patte d'Arakne Magique,Patte d'Arakne Magique,[object Object]
1674,1.037,Champignon Luidegît,Champignon Luidegît,[object Object]
1675,0.253,Os Surprise du Chafer Fantassin,Os Surprise du Chafer Fantassin,[object Object]
1676,6.13,Osier Enchanté,Osier Enchanté,[object Object]
1678,0.313,Noix de Grokoko Traumatisée,Noix de Grokoko Traumatisée,[object Object]
1679,2.662,Pierre de Crystaloboule,Pierre de Crystaloboule,[object Object]
1680,71.635,Corne Brûlée du Minotoror,Corne Brûlée du Minotoror,[object Object]
1681,0.354,Peau Égrotante,Peau Égrotante,[object Object]
1682,5.112,Écorce de Liroye Merline,Écorce de Liroye Merline,[object Object]
1683,1.401,Sac à Patates Clair,Sac à Patates Clair,[object Object]
1684,1.401,Sac à Patates Sombre,Sac à Patates Sombre,[object Object]
1686,6.898,Teinture Magique de Rougeur,Teinture Magique de Rougeur,[object Object]
1687,5.247,Teinture Magique Verdâtre,Teinture Magique Verdâtre,[object Object]
1688,2.648,Teinture Magique Bleutée,Teinture Magique Bleutée,[object Object]
1689,2.948,Teinture Magique Orange,Teinture Magique Orange,[object Object]
1690,0.111,Poils du Milimulou,Poils du Milimulou,[object Object]
1691,5.513,Faux Visage de Choudini,Faux Visage de Choudini,[object Object]
1692,2.235,Teinture Magique Sombre,Teinture Magique Sombre,[object Object]
1694,13.096,Laine du Trooll Furieux,Laine du Trooll Furieux,[object Object]
1696,33.385,Étoffe de Choudini,Étoffe de Choudini,[object Object]
1736,0.056,Citron,Citron,[object Object]
1750,0.09,Poisson Pané,Poisson Pané,[object Object]
1754,9,Poisson Igloo,Poisson Igloo,[object Object]
1757,0.06,Crabe Sourimi,Crabe Sourimi,[object Object]
1759,6,Crabe Sourimi Exotique,Crabe Sourimi Exotique,[object Object]
1762,7,Poisson-Tigre,Poisson-Tigre,[object Object]
1770,0.116,Bout de Blop Coco,Bout de Blop Coco,[object Object]
1771,0.404,Souris verte,Souris verte,[object Object]
1773,0.116,Bout de Blop Reinette,Bout de Blop Reinette,[object Object]
1775,0.116,Bout de Blop Griotte,Bout de Blop Griotte,[object Object]
1777,0.116,Bout de Blop Indigo,Bout de Blop Indigo,[object Object]
1779,0.22,Bar Rikain,Bar Rikain,[object Object]
1782,0.03,Goujon,Goujon,[object Object]
1784,0.19,Raie Bleue,Raie Bleue,[object Object]
1786,4,Greuvette Horreur,Greuvette Horreur,[object Object]
1788,19,Raie de Farle,Raie de Farle,[object Object]
1790,3,Goujon Kiye,Goujon Kiye,[object Object]
1792,22,Bar Iton,Bar Iton,[object Object]
1794,0.1,Carpe d'Iem,Carpe d'Iem,[object Object]
1796,10,Carpette des sables,Carpette des sables,[object Object]
1799,14,Kralamoure Unique,Kralamoure Unique,[object Object]
1801,0.17,Perche,Perche,[object Object]
1803,17,Chaton-Perche,Chaton-Perche,[object Object]
1805,0.11,Sardine Brillante,Sardine Brillante,[object Object]
1807,11,Sardine Sombre,Sardine Sombre,[object Object]
1844,0.05,Truite,Truite,[object Object]
1846,5,Truite Ancestrale,Truite Ancestrale,[object Object]
1847,0.12,Brochet,Brochet,[object Object]
1849,12,Brochet Tupe-Halett,Brochet Tupe-Halett,[object Object]
1853,21,Requin Marché-Libre,Requin Marché-Libre,[object Object]
1889,0.565,Plume de Crowneille,Plume de Crowneille,[object Object]
1890,0.578,Poil de Vétauran,Poil de Vétauran,[object Object]
1891,0.395,Peau de serpentin,Peau de serpentin,[object Object]
1894,4.545,Poil de Gliglitch,Poil de Gliglitch,[object Object]
1974,0.059,Feuille de salace,Feuille de Salace,[object Object]
1984,0.043,Cendres Éternelles,Cendres Éternelles,[object Object]
2018,3,Blé d'Or,Blé d'Or,[object Object]
2021,10,Houblon Brillant,Houblon Brillant,[object Object]
2026,12,Lin Tempête,Lin Tempête,[object Object]
2029,15,Seigle Résistant,Seigle Résistant,[object Object]
2032,5,Orge en Sucre,Orge en Sucre,[object Object]
2035,20,Chanvre Euphorique,Chanvre Euphorique,[object Object]
2036,7,Avoine Aurifère,Avoine Aurifère,[object Object]
2056,3.354,Œil de Crowneille,il de Crowneille,[object Object]
2058,9.674,Cœur de Brandon,Cur de Brandon,[object Object]
2059,9.217,Corbac Mort,Corbac Mort,[object Object]
2060,1.531,Patte de Corbac,Patte de Corbac,[object Object]
2150,0.565,Graine de Scorbute,Graine de Scorbute,[object Object]
2179,0.565,Dent de dragodinde,Dent de Dragodinde,[object Object]
2241,2.228,Gelée Menthe Royale,Gelée Menthe Royale,[object Object]
2242,2.228,Gelée Fraise Royale,Gelée Fraise Royale,[object Object]
2247,17.326,Plume de Tofu Royal,Plume de Tofu Royal,[object Object]
2249,0.176,Dent de Garglyphe,Dent de Garglyphe,[object Object]
2250,0.206,Bois de Tronknyde,Bois de Tronknyde,[object Object]
2251,3.263,Méga Pierre du Craqueleur,Méga Pierre du Craqueleur,[object Object]
2252,2.448,Dent en Or de Craqueleur,Dent en Or de Craqueleur,[object Object]
2253,1.094,Fleur de Gloutovore,Fleur de Gloutovore,[object Object]
2254,1.094,Feuille de Fourbasse,Feuille de Fourbasse,[object Object]
2259,0.206,Pic de Lance de Gobet,Pic de Lance de Gobet,[object Object]
2264,0.444,Canine de Gobelin,Canine de Gobelin,[object Object]
2266,1.461,Lait de Cochon de Lait,Lait de Cochon de Lait,[object Object]
2268,1.382,Scalp de Bwork Archer,Scalp de Bwork Archer,[object Object]
2271,6.13,Cuir Violet de Mégabwork,Cuir Violet de Mégabwork,[object Object]
2273,1.012,Tissu Pourpre,Tissu Pourpre,[object Object]
2274,0.763,Bougie du Mineur Sombre,Bougie du Mineur Sombre,[object Object]
2275,0.272,Cuir de Porkass,Cuir de Porkass,[object Object]
2277,1.627,Linceul,Linceul,[object Object]
2278,0.682,Tissu Invisible,Tissu Invisible,[object Object]
2279,0.117,Canine Vampiresque,Canine Vampiresque,[object Object]
2280,1.454,Paille Vampiresque,Paille Vampiresque,[object Object]
2281,6.13,Tissu de Graboule,Tissu de Graboule,[object Object]
2282,1.627,Touffe de Cheveux Blancs,Touffe de Cheveux Blancs,[object Object]
2283,0.155,Œil de Kwoan,il de Kwoan,[object Object]
2285,1.064,Tissu Sombre,Tissu Sombre,[object Object]
2286,1.012,Bandelettes,Bandelettes,[object Object]
2287,3,Concombre,Concombre,[object Object]
2288,0.292,Patte de Wabbit,Patte de Wabbit,[object Object]
2294,1.297,Viscères de Scarafeuille,Viscères de Scarafeuille,[object Object]
2295,3.354,Fragment d'Épée Reptilienne,Fragment d'Épée Reptilienne,[object Object]
2297,0.272,Flèche du Chafer Archer,Flèche du Chafer Archer,[object Object]
2299,23.958,Mèche Rebelle d'Hell Mina,Mèche Rebelle d'Hell Mina,[object Object]
2300,1.766,Fragment d'Os,Fragment d'Os,[object Object]
2301,0.565,Moustache de Kolérat,Moustache de Kolérat,[object Object]
2302,1.627,Langue d'Étoile,Langue d'Étoile,[object Object]
2303,1.627,Carapace vide de Crabe,Carapace vide de Crabe,[object Object]
2304,0.549,Fragment de Pierre Polie,Fragment de Pierre Polie,[object Object]
2305,0.543,Fragment de Pierre Pointue,Fragment de Pierre Pointue,[object Object]
2306,2.896,Cœur de Craqueleur,Cur de Craqueleur,[object Object]
2316,1.012,Couteau de Roukouto,Couteau de Roukouto,[object Object]
2318,0.574,Feuille de Rose Obscure,Feuille de Rose Obscure,[object Object]
2320,3.354,Collier Cassé de Macien,Collier Cassé de Macien,[object Object]
2321,0.565,Babines de Macien,Babines de Macien,[object Object]
2322,0.111,Crocs de Rats,Crocs de Rats,[object Object]
2323,0.979,Colonne Vertébrale,Colonne Vertébrale,[object Object]
2330,0.254,Capsule Explosive,Capsule Explosive,[object Object]
2336,1.064,Crâne de Chafer,Crâne de Chafer,[object Object]
2357,0.14,Bois d'Oliviolet,Bois d'Oliviolet,[object Object]
2358,0.11,Bois de Bombu,Bois de Bombu,[object Object]
2436,0.283,Gelée Citron,Gelée Citron,[object Object]
2437,2.228,Gelée Citron Royale,Gelée Citron Royale,[object Object]
2448,31.342,Cervelle de Bouftou des Cavernes,Cervelle de Bouftou des Cavernes,[object Object]
2451,0.665,Patte d'Arakne des Égouts,Patte d'Arakne des Égouts,[object Object]
2453,0.665,Œil de Ramane Strubien,il de Ramane Strubien,[object Object]
2454,1.064,Estomac de Tofu Ventripotent,Estomac de Tofu Ventripotent,[object Object]
2455,0.487,Sang de Bouftou,Sang de Bouftou,[object Object]
2463,0.974,Dent de Kwoan,Dent de Kwoan,[object Object]
2464,0.974,Queue de Boostache Prépubère,Queue de Boostache Prépubère,[object Object]
2466,0.974,Langue de Gargrouille,Langue de Gargrouille,[object Object]
2467,0.665,Rondelles de Milirat Strubien,Rondelles de Milirat Strubien,[object Object]
2468,0.18,Estomac de Ouassingue,Estomac de Ouassingue,[object Object]
2479,2.392,Fléau de Robot Fléau,Fléau de Robot Fléau,[object Object]
2480,1.627,Slip en cuir de Porkass,Slip en cuir de Porkass,[object Object]
2481,0.395,Chaîne de Robot Fléau,Chaîne de Robot Fléau,[object Object]
2482,0.404,Charnière Cassée,Charnière Cassée,[object Object]
2483,2.444,Bidule inutile,Bidule inutile,[object Object]
2484,0.272,Trident Cassé,Trident Cassé,[object Object]
2486,0.395,Coque Endommagée,Coque Endommagée,[object Object]
2488,3.281,Viscères de Scorbute,Viscères de Scorbute,[object Object]
2491,0.059,Œil d'Arakmuté,il d'Arakmuté,[object Object]
2493,9.011,Cœur de Buveur,Cur de Buveur,[object Object]
2495,0.471,Œil de Craquelope,Œil de Craquelope,[object Object]
2496,0.395,Queue de Rat d'Hyoactif,Queue de Rat d'Hyoactif,[object Object]
2497,0.395,Oreille de Guerrier Mental,Oreille de Guerrier Mental,[object Object]
2500,3.354,Kolérat Mort,Kolérat Mort,[object Object]
2502,0.549,Papatte de Croc Gland,Papatte de Croc Gland,[object Object]
2504,2.817,Langue de Craquelope,Langue de Craquelope,[object Object]
2505,3.174,Baballe,Baballe,[object Object]
2506,2.405,Grelot,Grelot,[object Object]
2507,2.43,Peau de Larve Champêtre,Peau de Larve Champêtre,[object Object]
2508,2.38,Venin de Serpentin,Venin de Serpentin,[object Object]
2509,0.404,Dent de Larve Champêtre,Dent de Larve Champêtre,[object Object]
2510,25.726,Estomac de Gliglidoudur,Estomac de Gliglidoudur,[object Object]
2511,4.363,Cuir de Gliglibido,Cuir de Gliglibido,[object Object]
2512,1.5,Queue de Sanglier des Plaines,Queue de Sanglier des Plaines,[object Object]
2513,4.363,Étoffe de Gliglidoudur,Étoffe de Gliglidoudur,[object Object]
2514,25.971,Sabot de Gliglicérin,Sabot de Gliglicérin,[object Object]
2515,0.249,Groin de Sanglier des Plaines,Groin de Sanglier des Plaines,[object Object]
2516,4.363,Défense de Gliglicérin,Défense de Gliglicérin,[object Object]
2527,36.856,Clakoss,Clakoss,[object Object]
2528,0.628,Ongle de Kanigrou,Ongle de Kanigrou,[object Object]
2539,2.85,Substrat de Buisson,Substrat de Buisson,[object Object]
2540,5.4,Substrat de Futaie,Substrat de Futaie,[object Object]
2543,7.65,Substrat de Fascine,Substrat de Fascine,[object Object]
2549,0.453,Boîte de Vétauran,Boîte de Vétauran,[object Object]
2550,3.391,Étoffe de Foufayteur,Étoffe de Foufayteur,[object Object]
2551,0.565,Oreille de Foufayteur,Oreille de Foufayteur,[object Object]
2552,3.74,Œil de Kanigrou,il de Kanigrou,[object Object]
2553,0.301,Gros Boulet,Gros Boulet,[object Object]
2554,1.627,Côtes de Porkass,Côtes de Porkass,[object Object]
2555,2.38,Courroie en cuir,Courroie en cuir,[object Object]
